chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries
100.0,100.0,52251,0,0,-2,2,1,1,5.0,5.0,6,Johan,5.0,1,False,,2021-03-23T09:55:01.773068Z,63,52251.jpg,5.7,Dahlin,2.1,False,,a,1,993,40,565,16,279,8,0.8,6.3,Dahlin,630,0,0,5,6,0,0,0,0,15,0,0,6,0,0,0,4,52
0.0,0.0,421640,0,0,-1,1,0,1,0.0,0.0,0,Mathias,0.0,2,False,Utlånad till Östers IF,2021-07-07T12:39:20.586072Z,39,421640.jpg,0.0,Nilsson,2.3,False,,n,1,993,0,226,1,436,2,0.0,0.0,Nilsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,212926,0,0,-3,3,0,1,0.0,0.0,0,Marko,0.0,3,False,Lämnat för Hamburg,2021-08-12T07:58:24.693669Z,62,212926.jpg,3.2,Johansson,2.8,False,,u,1,993,29,273,0,784,6,0.0,4.7,Johansson,810,0,0,0,13,0,0,0,0,20,0,0,11,0,0,0,2,84
,,515046,0,0,-1,1,0,1,0.0,0.0,0,Melker,0.0,4,False,,,39,515046.jpg,0.0,Ellborg,0.9,False,,a,1,993,0,178,1,96,3,0.0,0.0,Ellborg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,233821,0,0,-1,1,0,2,5.3,5.3,8,Anel,5.3,5,False,,2021-05-26T19:26:35.388875Z,74,233821.jpg,4.4,Ahmedhodzic,10.1,False,,a,1,993,57,906,7,2678,4,0.7,7.7,Ahmedhodzic,1170,1,0,4,15,0,0,3,0,0,0,0,16,0,3,0,88,72
0.0,0.0,82187,0,0,-1,1,0,2,0.0,0.0,0,Jonas,0.0,6,False,Skadad. Tillbaka i spel: missar resten av säsongen,2021-07-22T11:05:43.093439Z,69,82187.jpg,3.4,Knudsen,7.4,False,,i,1,993,41,6473,0,7596,35,0.0,5.9,Knudsen,1039,1,1,1,16,0,0,2,0,0,0,3,8,10,17,1,43,64
,,54433,0,0,-3,3,0,2,0.3,0.3,0,Lasse,0.3,7,False,,,52,54433.jpg,2.8,Nielsen,1.4,False,,a,1,993,28,484,1,842,9,0.1,5.4,Nielsen,648,1,0,1,11,0,0,2,0,0,1,1,7,0,1,1,45,36
,,82197,0,0,-2,2,2,2,4.0,4.0,1,Eric,4.0,8,False,,,73,82197.jpg,4.5,Larsson,8.4,False,,a,1,993,58,2004,5,3383,49,0.5,7.9,Larsson,918,0,5,3,12,0,0,2,0,0,1,7,8,7,21,5,27,76
,,202517,0,0,-1,1,0,2,4.7,4.7,6,Franz,4.7,9,False,,,54,202517.jpg,3.6,Brorsson,4.8,False,,a,1,993,54,2292,15,1824,11,0.9,10.0,Brorsson,1113,0,0,5,12,0,0,0,0,0,0,1,9,0,4,1,72,48
,,223813,0,0,-3,3,1,2,5.3,5.3,10,Felix,5.3,10,False,,,57,223813.jpg,3.5,Beijmo,2.8,False,,a,1,993,35,198,10,952,1,0.9,6.1,Beijmo,757,0,1,3,9,0,0,1,0,0,0,0,6,7,6,0,29,56
,,484391,0,0,-1,1,0,2,0.3,0.3,1,Noah,0.3,11,False,,,39,484391.jpg,1.0,Eile,0.7,False,,a,1,993,1,67,0,163,1,0.1,0.3,Eile,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0,0.0,89198,0,0,0,0,0,3,0.0,0.0,0,Arnór Ingvi,0.0,12,False,Lämnat för New England Revolution,2021-03-16T17:02:05.300231Z,80,89198.jpg,0.0,Traustason,0.0,False,,u,1,993,0,0,0,4,0,0.0,0.0,Traustason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,100.0,193844,0,0,0,0,0,3,2.7,2.7,3,Bonke,2.7,13,False,,2021-07-20T10:58:13.968217Z,45,193844.jpg,2.5,Innocent,1.4,False,,a,1,993,20,203,0,398,4,0.6,4.4,Innocent,644,0,0,3,7,0,0,3,0,0,0,0,5,2,2,0,28,51
100.0,100.0,61934,0,0,-1,1,2,3,1.3,1.3,1,Jo Inge,1.3,14,False,,2021-07-16T12:40:16.569141Z,89,61934.jpg,3.8,Berget,4.3,False,,a,1,993,57,3381,2,3283,23,0.1,6.4,Berget,1078,2,3,2,17,0,0,2,0,0,0,7,5,2,18,4,17,67
100.0,100.0,76466,0,0,2,-2,2,3,4.7,4.7,9,Anders,4.7,15,True,,2021-06-28T08:36:37.667485Z,122,76466.jpg,5.9,Christiansen,23.0,False,,a,1,993,77,9702,80,9275,21,0.4,6.3,Christiansen,832,4,7,0,12,0,0,2,0,0,0,14,4,23,34,7,23,52
100.0,100.0,51682,0,0,1,-1,0,3,0.7,0.7,0,Sören,0.7,16,False,,2021-05-16T09:33:13.381887Z,81,51682.jpg,3.5,Rieks,5.1,False,,a,1,993,39,6330,2,6255,17,0.1,4.8,Rieks,537,4,0,1,8,0,0,0,0,0,0,2,1,6,10,1,8,28
100.0,100.0,82733,0,0,-1,1,0,3,0.7,0.7,1,Oscar,0.7,17,False,,2021-03-23T09:55:01.794104Z,49,82733.jpg,2.2,Lewicki,0.7,False,,a,1,993,13,86,2,231,2,0.1,2.7,Lewicki,320,0,0,2,1,0,0,0,0,0,0,1,2,3,4,0,12,26
100.0,100.0,163776,0,0,-2,2,1,3,3.0,3.0,3,Erdal,3.0,18,False,,2021-07-20T10:58:13.987218Z,58,163776.jpg,3.2,Rakip,2.6,False,,a,1,993,41,733,2,1589,8,0.5,7.1,Rakip,831,2,1,2,13,0,0,3,0,0,0,2,6,8,7,0,22,72
