element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
106,2,8,0,False,2021-04-10T15:30:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,1191,0,0
106,15,12,1,True,2021-04-19T17:00:00Z,2,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,125,-83,1168,41,124
106,24,16,3,True,2021-04-26T16:30:00Z,2,3,3,72,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,9,125,52,1249,104,52
106,27,15,4,False,2021-05-02T13:00:00Z,1,1,4,82,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,12,125,-29,1233,31,60
106,35,6,3,True,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,1,7,125,-94,1146,11,105
106,44,10,4,False,2021-05-12T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,11,125,-46,1101,10,56
106,52,3,8,True,2021-05-17T16:30:00Z,2,2,7,90,1,0,0,2,0,0,0,0,0,0,0,1,2,1,0,1,7,124,-54,1051,7,61
106,60,7,0,False,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-6,1052,24,30
106,69,5,0,True,2021-07-05T17:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-120,939,6,126
106,80,11,0,False,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-60,879,0,60
106,86,14,0,True,2021-07-18T16:00:00Z,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-39,840,0,39
106,94,13,0,False,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-27,813,0,27
106,100,9,0,True,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-11,802,0,11
106,109,2,0,True,2021-08-08T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-8,794,0,8
106,117,1,0,False,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-4,790,0,4
106,125,13,0,True,2021-08-23T17:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-8,782,0,8
