element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
113,4,7,3,True,2021-04-11T15:30:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,2,0,4,4,0,5,5,80,0,9195,0,0
113,16,13,6,False,2021-04-19T17:00:00Z,1,3,2,90,0,1,0,1,0,0,0,0,0,0,1,0,2,1,1,5,2,80,35,9536,230,195
113,23,14,10,True,2021-04-26T16:30:00Z,1,0,3,90,0,1,1,0,0,0,0,0,0,0,1,0,2,3,0,3,5,80,-25,9550,239,264
113,26,12,6,False,2021-05-02T15:30:00Z,1,0,4,90,0,0,0,1,0,0,0,0,0,0,2,2,3,4,0,7,6,80,122,9712,319,197
113,34,10,0,True,2021-05-08T15:30:00Z,2,2,5,90,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,3,5,80,467,10238,641,174
113,43,3,6,False,2021-05-12T16:30:00Z,0,2,6,90,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,80,3,10265,249,246
113,51,15,7,True,2021-05-17T16:30:00Z,2,3,7,90,0,1,0,3,0,0,0,0,0,0,2,1,5,1,1,4,10,80,635,10918,767,132
113,103,1,3,False,2021-05-20T16:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,6,6,80,635,10918,767,132
113,63,9,7,True,2021-05-24T16:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,7,81,-49,10895,205,254
113,69,4,12,False,2021-07-05T17:00:00Z,0,1,9,77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,82,102,11048,531,429
113,76,8,3,True,2021-07-11T15:30:00Z,2,1,10,86,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,6,82,-278,10783,314,592
113,85,11,0,True,2021-07-17T15:30:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,-1347,9455,213,1560
113,89,6,0,False,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,-779,8677,78,857
113,108,16,0,True,2021-08-08T15:30:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13,7872,194,181
113,114,2,8,False,2021-08-15T15:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,2,0,3,3,0,4,2,81,-62,7818,338,400
113,124,2,1,True,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,5,5,81,101,7929,302,201
