element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
117,4,7,1,True,2021-04-11T15:30:00Z,0,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,108,0,0
117,16,13,0,False,2021-04-19T17:00:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-5,110,4,9
117,23,14,0,True,2021-04-26T16:30:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-9,103,0,9
117,26,12,1,False,2021-05-02T15:30:00Z,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,-12,91,0,12
117,34,10,0,True,2021-05-08T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-5,86,3,8
117,43,3,7,False,2021-05-12T16:30:00Z,0,2,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,7,49,-4,83,0,4
117,51,15,1,True,2021-05-17T16:30:00Z,2,3,7,58,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,11,49,48,131,51,3
117,103,1,0,False,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,48,131,51,3
117,63,9,6,True,2021-05-24T16:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,49,-17,114,0,17
117,69,4,1,False,2021-07-05T17:00:00Z,0,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,49,-4,110,3,7
117,76,8,1,True,2021-07-11T15:30:00Z,2,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,-9,101,3,12
117,85,11,6,True,2021-07-17T15:30:00Z,3,0,11,90,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,3,7,49,-2,99,5,7
117,89,6,2,False,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2,9,49,5,105,7,2
117,108,16,8,True,2021-08-08T15:30:00Z,3,0,14,90,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,5,11,49,0,98,2,2
117,114,2,7,False,2021-08-15T15:30:00Z,0,2,15,75,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,5,49,3,101,5,2
117,124,2,2,True,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,4,49,21,123,27,6
