element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
122,4,7,2,True,2021-04-11T15:30:00Z,0,2,1,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,3,7,60,0,116,0,0
122,16,13,2,False,2021-04-19T17:00:00Z,1,3,2,90,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,3,9,60,17,151,23,6
122,23,14,3,True,2021-04-26T16:30:00Z,1,0,3,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,11,60,-2,153,8,10
122,26,12,0,False,2021-05-02T15:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-28,126,2,30
122,34,10,7,True,2021-05-08T15:30:00Z,2,2,5,90,0,1,0,2,0,0,0,0,0,0,1,1,2,1,1,5,10,60,-14,112,8,22
122,43,3,5,False,2021-05-12T16:30:00Z,0,2,6,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,8,60,90,204,99,9
122,51,15,3,True,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,4,9,60,682,888,700,18
122,103,1,3,False,2021-05-20T16:30:00Z,2,1,7,87,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,5,8,60,682,888,700,18
122,63,9,4,True,2021-05-24T16:30:00Z,1,0,8,88,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,8,60,-122,767,9,131
122,69,4,7,False,2021-07-05T17:00:00Z,0,1,9,90,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,4,8,61,-123,644,2,125
122,76,8,9,True,2021-07-11T15:30:00Z,2,1,10,90,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,7,61,50,697,97,47
122,85,11,3,True,2021-07-17T15:30:00Z,3,0,11,70,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,4,61,317,1025,351,34
122,89,6,2,False,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,3,10,62,97,1136,198,101
122,108,16,5,True,2021-08-08T15:30:00Z,3,0,14,51,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,2,3,61,25,968,88,63
122,114,2,4,False,2021-08-15T15:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,61,-9,962,60,69
122,124,2,2,True,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,7,61,34,1000,101,67
