element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
124,4,7,0,True,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,93,0,0
124,16,13,0,False,2021-04-19T17:00:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-16,85,3,19
124,23,14,0,True,2021-04-26T16:30:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-20,65,0,20
124,26,12,0,False,2021-05-02T15:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-8,57,1,9
124,34,10,0,True,2021-05-08T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-5,52,0,5
124,43,3,6,False,2021-05-12T16:30:00Z,0,2,6,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,49,-4,48,0,4
124,51,15,1,True,2021-05-17T16:30:00Z,2,3,7,31,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,49,38,88,42,4
124,103,1,1,False,2021-05-20T16:30:00Z,2,1,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,38,88,42,4
124,63,9,1,True,2021-05-24T16:30:00Z,1,0,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,-1,87,4,5
124,69,4,1,False,2021-07-05T17:00:00Z,0,1,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,49,13,100,31,18
124,76,8,1,True,2021-07-11T15:30:00Z,2,1,10,18,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,49,7,107,7,0
124,85,11,1,True,2021-07-17T15:30:00Z,3,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,49,2,109,7,5
124,89,6,1,False,2021-07-25T15:30:00Z,1,1,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,49,-7,103,1,8
124,108,16,4,True,2021-08-08T15:30:00Z,3,0,14,16,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,49,2,90,2,0
124,114,2,6,False,2021-08-15T15:30:00Z,0,2,15,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,48,-13,77,0,13
124,124,2,8,True,2021-08-22T13:00:00Z,2,2,16,67,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,48,11,89,20,9
