element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
130,4,7,2,True,2021-04-11T15:30:00Z,0,2,1,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,70,0,1006,0,0
130,16,13,3,False,2021-04-19T17:00:00Z,1,3,2,89,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,11,70,6,1063,49,43
130,23,14,1,True,2021-04-26T16:30:00Z,1,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,70,-33,1035,24,57
130,26,12,2,False,2021-05-02T15:30:00Z,1,0,4,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,70,-92,945,10,102
130,34,10,3,True,2021-05-08T15:30:00Z,2,2,5,79,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,3,6,70,-27,918,45,72
130,43,3,3,False,2021-05-12T16:30:00Z,0,2,6,71,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,70,2,920,34,32
130,51,15,6,True,2021-05-17T16:30:00Z,2,3,7,58,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,70,66,986,106,40
130,103,1,2,False,2021-05-20T16:30:00Z,2,1,7,64,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,70,66,986,106,40
130,63,9,8,True,2021-05-24T16:30:00Z,1,0,8,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,70,-45,942,5,50
130,69,4,3,False,2021-07-05T17:00:00Z,0,1,9,90,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,5,69,-3,943,40,43
130,76,8,2,True,2021-07-11T15:30:00Z,2,1,10,86,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,69,68,1013,86,18
130,85,11,9,True,2021-07-17T15:30:00Z,3,0,11,82,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,6,69,5,1019,36,31
130,89,6,1,False,2021-07-25T15:30:00Z,1,1,12,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,69,47,1067,75,28
130,108,16,9,True,2021-08-08T15:30:00Z,3,0,14,68,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,5,69,32,1014,47,15
130,114,2,3,False,2021-08-15T15:30:00Z,0,2,15,84,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,2,4,69,111,1131,138,27
130,124,2,1,True,2021-08-22T13:00:00Z,2,2,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,69,134,1272,173,39
