element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
132,4,7,0,True,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,187,0,0
132,16,13,1,False,2021-04-19T17:00:00Z,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-12,175,4,16
132,23,14,0,True,2021-04-26T16:30:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,184,26,18
132,26,12,0,False,2021-05-02T15:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-13,174,10,23
132,34,10,1,True,2021-05-08T15:30:00Z,2,2,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-15,159,6,21
132,43,3,1,False,2021-05-12T16:30:00Z,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,157,7,10
132,51,15,1,True,2021-05-17T16:30:00Z,2,3,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,174,31,17
132,103,1,0,False,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,174,31,17
132,63,9,0,True,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,189,21,11
132,69,4,0,False,2021-07-05T17:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-6,184,13,19
132,76,8,0,True,2021-07-11T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4,180,6,10
132,85,11,1,True,2021-07-17T15:30:00Z,3,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-1,179,3,4
132,89,6,1,False,2021-07-25T15:30:00Z,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4,176,7,11
132,108,16,0,True,2021-08-08T15:30:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,179,9,6
132,114,2,0,False,2021-08-15T15:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,182,10,7
132,124,2,0,True,2021-08-22T13:00:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,182,6,7
