element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
140,3,15,0,False,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,81,0,0
140,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-11,70,0,11
140,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-7,63,0,7
140,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-4,59,0,4
140,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,59,0,0
140,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,57,0,2
140,54,14,0,False,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-3,54,0,3
140,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,52,0,2
140,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,52,0,0
140,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,52,0,0
140,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,53,1,0
140,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,53,0,0
140,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,53,0,0
140,105,11,0,True,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,53,0,0
140,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,53,0,0
140,121,12,2,False,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,11,48,1,54,1,0
