element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
141,3,15,0,False,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,83,0,0
141,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-8,87,2,10
141,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-6,82,1,7
141,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-8,74,0,8
141,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,73,0,2
141,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,73,1,2
141,54,14,0,False,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-4,69,0,4
141,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,68,0,1
141,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,68,0,0
141,77,10,1,False,2021-07-12T17:00:00Z,2,3,10,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,44,1,69,1,0
141,87,9,7,False,2021-07-18T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,2,44,-2,67,0,2
141,89,5,2,True,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,44,20,87,27,7
141,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,10,3,44,8,95,12,4
141,105,11,6,True,2021-08-08T13:00:00Z,5,0,14,90,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,44,39,136,49,10
141,113,16,2,False,2021-08-15T13:00:00Z,3,0,15,90,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,7,6,44,45,181,49,4
141,121,12,2,False,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,6,44,1,182,8,7
