element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
150,3,15,1,False,2021-04-11T13:00:00Z,1,0,1,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,4,55,0,1801,0,0
150,10,1,3,True,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,5,5,55,-122,1696,5,127
150,17,3,1,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,5,55,-112,1590,17,129
150,28,2,3,False,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,3,54,-193,1400,2,195
150,35,4,2,False,2021-05-08T13:00:00Z,1,1,5,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,9,54,-105,1297,9,114
150,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-108,1190,7,115
150,54,14,3,False,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9,54,-120,1071,0,120
150,59,13,3,True,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,6,8,54,-56,1015,1,57
150,65,12,5,True,2021-07-04T13:00:00Z,2,1,9,90,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,2,54,-21,995,1,22
150,77,10,10,False,2021-07-12T17:00:00Z,2,3,10,90,0,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,3,54,-20,975,2,22
150,87,9,6,False,2021-07-18T13:00:00Z,0,1,11,90,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,5,54,46,1027,54,8
150,89,5,2,True,2021-07-25T15:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,54,135,1168,151,16
150,99,7,3,False,2021-08-01T13:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,3,54,39,1213,66,27
150,105,11,3,True,2021-08-08T13:00:00Z,5,0,14,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,5,54,19,1237,48,29
150,113,16,2,False,2021-08-15T13:00:00Z,3,0,15,90,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,5,54,-16,1225,25,41
150,121,12,3,False,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,6,54,-52,1173,8,60
