element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
152,3,15,0,False,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,263,0,0
152,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-61,204,2,63
152,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-32,172,0,32
152,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-11,161,0,11
152,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-12,149,1,13
152,41,8,0,True,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-3,146,0,3
152,54,14,0,False,2021-05-17T16:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-1,145,0,1
152,59,13,1,True,2021-05-23T15:30:00Z,3,1,8,19,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,89,1,146,1,0
152,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,17,164,25,8
152,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-5,159,0,5
152,87,9,6,False,2021-07-18T13:00:00Z,0,1,11,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-4,156,0,4
152,89,5,1,True,2021-07-25T15:30:00Z,1,1,12,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,89,101,257,114,13
152,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,45,0,0,0,2,0,0,1,0,0,0,1,0,1,1,1,0,2,89,-22,235,18,40
152,105,11,8,True,2021-08-08T13:00:00Z,5,0,14,59,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,89,47,285,60,13
152,113,16,2,False,2021-08-15T13:00:00Z,3,0,15,85,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,89,380,667,399,19
152,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,-14,657,63,77
