element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
158,3,15,2,False,2021-04-11T13:00:00Z,1,0,1,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,60,0,4567,0,0
158,10,1,6,True,2021-04-18T13:00:00Z,1,2,2,90,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,60,-77,4673,174,251
158,17,3,4,True,2021-04-24T13:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,1,1,0,5,0,1,6,60,507,5270,686,179
158,28,2,2,False,2021-05-01T15:30:00Z,1,1,4,63,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,60,-121,5190,237,358
158,35,4,1,False,2021-05-08T13:00:00Z,1,1,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,60,-441,4778,181,622
158,41,8,2,True,2021-05-12T16:30:00Z,2,3,6,27,0,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,60,-349,4433,86,435
158,54,14,5,False,2021-05-17T16:30:00Z,1,1,7,28,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,2,2,59,-760,3676,23,783
158,59,13,11,True,2021-05-23T15:30:00Z,3,1,8,90,1,1,0,1,0,0,0,0,0,0,1,0,1,3,0,1,4,59,-292,3386,35,327
158,65,12,1,True,2021-07-04T13:00:00Z,2,1,9,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,58,-57,3349,222,279
158,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-174,3178,101,275
158,87,9,1,False,2021-07-18T13:00:00Z,0,1,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,58,-598,2583,20,618
158,89,5,1,True,2021-07-25T15:30:00Z,1,1,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,-187,2396,18,205
158,99,7,1,False,2021-08-01T13:00:00Z,2,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,-159,2237,8,167
158,105,11,5,True,2021-08-08T13:00:00Z,5,0,14,30,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,56,-143,2095,8,151
158,113,16,1,False,2021-08-15T13:00:00Z,3,0,15,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,56,-63,2032,18,81
158,121,12,3,False,2021-08-22T15:30:00Z,2,1,16,64,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,6,56,-92,1942,15,107
