element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
15,1,2,8,True,2021-04-10T13:00:00Z,3,2,1,90,1,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,4,120,0,7041,0,0
15,10,6,7,False,2021-04-18T13:00:00Z,1,2,2,90,0,1,0,1,0,0,0,0,0,0,2,0,3,3,0,1,4,120,345,8099,427,82
15,21,11,8,True,2021-04-25T15:30:00Z,1,1,3,90,0,1,0,1,0,0,0,0,0,0,2,1,3,3,1,2,6,121,1212,9581,1291,79
15,31,7,3,False,2021-05-03T16:30:00Z,3,1,4,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,10,122,1080,10830,1170,90
15,38,13,3,True,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,1,0,2,2,1,1,4,123,1477,12403,1624,147
15,46,12,6,False,2021-05-13T16:30:00Z,1,1,6,90,0,1,0,1,0,0,1,0,0,0,1,1,2,2,1,5,7,123,-148,12301,186,334
15,53,10,8,True,2021-05-17T16:30:00Z,3,1,7,90,0,1,0,1,0,0,0,0,0,0,2,1,6,6,2,6,4,123,1946,14282,2033,87
15,103,5,1,True,2021-05-20T16:30:00Z,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,1946,14282,2033,87
15,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,-3645,10685,166,3811
15,70,9,0,False,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,-1701,9000,274,1975
15,78,3,6,True,2021-07-10T13:00:00Z,4,0,10,31,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,122,-530,8476,245,775
15,82,16,13,False,2021-07-17T13:00:00Z,0,5,11,55,1,2,0,0,0,0,1,0,0,0,2,0,0,6,2,1,4,122,300,8794,434,134
15,93,14,0,False,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,810,9638,869,59
15,107,15,2,False,2021-08-07T15:30:00Z,0,0,14,32,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,123,153,9240,435,282
15,117,4,3,True,2021-08-14T13:00:00Z,2,3,15,53,0,0,0,1,0,0,0,0,0,0,2,0,3,3,0,1,3,123,-103,9150,193,296
15,126,16,9,True,2021-08-21T13:00:00Z,3,0,16,26,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,122,-235,8934,145,380
