element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
160,3,15,0,False,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,47,0,0
160,10,1,0,True,2021-04-18T13:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-5,45,2,7
160,17,3,0,True,2021-04-24T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-1,47,0,1
160,28,2,0,False,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,45,0,2
160,35,4,0,False,2021-05-08T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-3,42,0,3
160,41,8,1,True,2021-05-12T16:30:00Z,2,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,-5,37,0,5
160,54,14,1,False,2021-05-17T16:30:00Z,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,36,1,2
160,59,13,0,True,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,36,0,0
160,65,12,0,True,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,36,0,0
160,77,10,0,False,2021-07-12T17:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,37,0,0
160,87,9,0,False,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,37,0,1
160,89,5,0,True,2021-07-25T15:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,36,0,1
160,99,7,0,False,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,36,1,1
160,105,11,0,True,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-2,34,0,2
160,113,16,0,False,2021-08-15T13:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-1,33,0,1
160,121,12,0,False,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-2,31,0,2
