element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
166,4,5,9,False,2021-04-11T15:30:00Z,0,2,1,90,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,5,15,60,0,1321,0,0
166,12,9,7,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,6,60,282,1942,324,42
166,22,13,4,False,2021-04-25T13:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,8,60,543,2629,589,46
166,31,1,3,True,2021-05-03T16:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,7,60,179,2894,278,99
166,37,16,2,False,2021-05-09T13:00:00Z,2,0,5,90,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,7,61,87,3030,237,150
166,42,11,7,True,2021-05-12T16:30:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,61,-45,3005,58,103
166,50,2,1,False,2021-05-16T15:30:00Z,2,2,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,-91,2925,38,129
166,60,4,0,True,2021-05-23T15:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-1014,1914,2,1016
166,67,8,0,True,2021-07-05T17:00:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-356,1558,1,357
166,74,15,0,False,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-224,1334,0,224
166,83,3,0,True,2021-07-19T17:00:00Z,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-100,1234,0,100
166,92,10,0,False,2021-07-25T13:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-78,1156,0,78
166,99,6,0,True,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-36,1120,0,36
166,106,12,0,True,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-29,1091,0,29
166,118,14,0,False,2021-08-15T13:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-27,1064,0,27
166,122,14,0,True,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-23,1041,0,23
