element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
180,4,5,0,False,2021-04-11T15:30:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,239,0,0
180,12,9,5,True,2021-04-18T15:30:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,14,50,-39,206,1,40
180,22,13,7,False,2021-04-25T13:00:00Z,1,3,3,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,50,15,228,25,10
180,31,1,3,True,2021-05-03T16:30:00Z,3,1,4,86,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,50,91,331,110,19
180,37,16,0,False,2021-05-09T13:00:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,142,479,182,40
180,42,11,0,True,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-13,470,34,47
180,50,2,8,False,2021-05-16T15:30:00Z,2,2,7,90,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,9,50,-34,436,17,51
180,60,4,5,True,2021-05-23T15:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,1,9,50,115,559,133,18
180,67,8,3,True,2021-07-05T17:00:00Z,3,0,9,78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,51,30,595,75,45
180,74,15,3,False,2021-07-12T17:00:00Z,0,0,10,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51,34,630,58,24
180,83,3,8,True,2021-07-19T17:00:00Z,5,1,11,90,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,51,25,657,50,25
180,92,10,4,False,2021-07-25T13:00:00Z,0,1,12,68,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6,51,143,804,166,23
180,99,6,2,True,2021-08-01T13:00:00Z,2,1,13,90,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,2,7,51,116,924,155,39
180,106,12,2,True,2021-08-08T13:00:00Z,1,4,14,71,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,51,43,970,94,51
180,118,14,4,False,2021-08-15T13:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,51,20,996,83,63
180,122,14,4,True,2021-08-23T17:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,8,51,40,1045,112,72
