element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
188,4,5,4,False,2021-04-11T15:30:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,11,55,0,531,0,0
188,12,9,2,True,2021-04-18T15:30:00Z,1,0,2,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,55,73,673,100,27
188,22,13,3,False,2021-04-25T13:00:00Z,1,3,3,86,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,10,55,-53,637,40,93
188,31,1,4,True,2021-05-03T16:30:00Z,3,1,4,90,0,0,0,1,0,0,1,0,0,0,2,1,1,3,1,3,10,55,-3,643,35,38
188,37,16,2,False,2021-05-09T13:00:00Z,2,0,5,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,11,55,36,686,79,43
188,42,11,4,True,2021-05-12T16:30:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,9,55,-1,689,35,36
188,50,2,2,False,2021-05-16T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,55,-40,649,26,66
188,60,4,1,True,2021-05-23T15:30:00Z,0,0,8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,55,-15,637,26,41
188,67,8,4,True,2021-07-05T17:00:00Z,3,0,9,90,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,7,55,-25,616,9,34
188,74,15,4,False,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,9,55,-24,592,9,33
188,83,3,6,True,2021-07-19T17:00:00Z,5,1,11,70,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,4,55,-13,580,9,22
188,92,10,4,False,2021-07-25T13:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,4,7,55,5,586,25,20
188,99,6,3,True,2021-08-01T13:00:00Z,2,1,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,8,55,23,610,40,17
188,106,12,4,True,2021-08-08T13:00:00Z,1,4,14,83,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,4,12,55,-2,611,15,17
188,118,14,4,False,2021-08-15T13:00:00Z,0,1,15,90,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,6,7,55,0,613,25,25
188,122,14,0,True,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-49,571,13,62
