element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
191,4,5,1,False,2021-04-11T15:30:00Z,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,1107,0,0
191,12,9,0,True,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,-131,1031,18,149
191,22,13,0,False,2021-04-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,-182,859,7,189
191,31,1,0,True,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,-114,748,0,114
191,37,16,1,False,2021-05-09T13:00:00Z,2,0,5,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73,-75,674,0,75
191,42,11,0,True,2021-05-12T16:30:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,-16,659,3,19
191,50,2,0,False,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-22,638,1,23
191,60,4,1,True,2021-05-23T15:30:00Z,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,-20,618,1,21
191,67,8,0,True,2021-07-05T17:00:00Z,3,0,9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,71,-12,606,2,14
191,74,15,0,False,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,-3,604,1,4
191,83,3,1,True,2021-07-19T17:00:00Z,5,1,11,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,71,-4,603,1,5
191,92,10,0,False,2021-07-25T13:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,603,2,2
191,99,6,0,True,2021-08-01T13:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,-6,597,1,7
191,106,12,1,True,2021-08-08T13:00:00Z,1,4,14,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,71,-3,594,1,4
191,118,14,0,False,2021-08-15T13:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,-9,585,0,9
191,122,14,0,True,2021-08-23T17:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,-4,583,1,5
