element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
192,4,5,6,False,2021-04-11T15:30:00Z,0,2,1,65,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,80,0,3837,0,0
192,12,9,2,True,2021-04-18T15:30:00Z,1,0,2,80,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,80,266,4487,372,106
192,22,13,2,False,2021-04-25T13:00:00Z,1,3,3,76,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,5,80,417,4990,651,234
192,31,1,2,True,2021-05-03T16:30:00Z,3,1,4,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,80,-482,4535,94,576
192,37,16,3,False,2021-05-09T13:00:00Z,2,0,5,65,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,4,80,-301,4254,179,480
192,42,11,2,True,2021-05-12T16:30:00Z,2,0,6,64,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,80,-357,3903,52,409
192,50,2,6,False,2021-05-16T15:30:00Z,2,2,7,90,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,79,-550,3362,16,566
192,60,4,2,True,2021-05-23T15:30:00Z,0,0,8,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,79,-41,3331,61,102
192,67,8,5,True,2021-07-05T17:00:00Z,3,0,9,79,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,78,42,3384,143,101
192,74,15,1,False,2021-07-12T17:00:00Z,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-96,3291,20,116
192,83,3,2,True,2021-07-19T17:00:00Z,5,1,11,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78,-104,3189,21,125
192,92,10,2,False,2021-07-25T13:00:00Z,0,1,12,75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,78,-154,3037,6,160
192,99,6,1,True,2021-08-01T13:00:00Z,2,1,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,77,-90,2950,10,100
192,106,12,0,True,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-106,2847,1,107
192,118,14,2,False,2021-08-15T13:00:00Z,0,1,15,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,-111,2737,3,114
192,122,14,2,True,2021-08-23T17:00:00Z,0,0,16,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,-59,2681,16,75
