element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
196,2,4,0,True,2021-04-10T15:30:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,602,0,0
196,14,11,0,False,2021-04-18T13:00:00Z,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,662,18,15
196,20,10,0,False,2021-04-25T13:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,681,25,13
196,29,9,0,True,2021-05-02T13:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,692,20,14
196,36,15,0,True,2021-05-08T15:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,704,18,9
196,41,6,0,False,2021-05-12T16:30:00Z,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,707,10,10
196,49,16,0,False,2021-05-18T16:30:00Z,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-5,702,3,8
196,64,1,0,True,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-4,698,2,6
196,67,7,0,False,2021-07-05T17:00:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-23,676,2,25
196,76,5,0,False,2021-07-11T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-32,644,0,32
196,88,2,0,True,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-20,624,0,20
196,95,12,0,True,2021-07-26T17:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-16,608,0,16
196,101,3,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-19,589,0,19
196,112,14,0,True,2021-08-07T15:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-17,572,0,17
196,119,13,0,False,2021-08-16T17:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-13,559,0,13
196,127,3,0,True,2021-08-22T15:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-16,543,0,16
