element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
201,2,4,6,True,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,45,0,165,0,0
201,14,11,0,False,2021-04-18T13:00:00Z,5,0,2,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,45,31,253,36,5
201,20,10,1,False,2021-04-25T13:00:00Z,1,0,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,45,-13,245,3,16
201,29,9,1,True,2021-05-02T13:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,3,0,45,-28,221,0,28
201,36,15,1,True,2021-05-08T15:30:00Z,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-8,213,7,15
201,41,6,1,False,2021-05-12T16:30:00Z,2,3,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,45,-2,211,0,2
201,49,16,1,False,2021-05-18T16:30:00Z,3,0,7,90,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,2,45,-6,205,1,7
201,64,1,1,True,2021-05-24T16:30:00Z,1,2,8,83,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,44,-4,201,1,5
201,67,7,1,False,2021-07-05T17:00:00Z,3,0,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,44,-5,196,1,6
201,76,5,0,False,2021-07-11T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2,194,1,3
201,88,2,1,True,2021-07-18T13:00:00Z,0,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,-11,183,0,11
201,95,12,1,True,2021-07-26T17:00:00Z,1,1,12,45,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,44,-3,180,0,3
201,101,3,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,179,1,2
201,112,14,2,True,2021-08-07T15:30:00Z,2,2,14,12,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,44,-1,178,0,1
201,119,13,1,False,2021-08-16T17:00:00Z,1,0,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-3,175,1,4
201,127,3,0,True,2021-08-22T15:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,173,0,3
