element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
204,2,4,0,True,2021-04-10T15:30:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,280,0,0
204,14,11,0,False,2021-04-18T13:00:00Z,5,0,2,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,45,-21,260,1,22
204,20,10,2,False,2021-04-25T13:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,45,-25,235,0,25
204,29,9,1,True,2021-05-02T13:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,3,44,-14,221,2,16
204,36,15,6,True,2021-05-08T15:30:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,44,-13,208,3,16
204,41,6,1,False,2021-05-12T16:30:00Z,2,3,6,90,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,4,9,44,-4,205,0,4
204,49,16,1,False,2021-05-18T16:30:00Z,3,0,7,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,5,44,0,205,7,7
204,64,1,0,True,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-1,204,3,4
204,67,7,4,False,2021-07-05T17:00:00Z,3,0,9,90,0,0,0,3,0,0,0,0,0,0,1,2,1,1,1,8,7,43,-2,202,0,2
204,76,5,2,False,2021-07-11T15:30:00Z,2,1,10,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,2,43,-5,197,1,6
204,88,2,2,True,2021-07-18T13:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,2,43,0,198,1,1
204,95,12,2,True,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,43,-5,193,5,10
204,101,3,3,False,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,6,43,1,194,6,5
204,112,14,2,True,2021-08-07T15:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,6,43,7,201,7,0
204,119,13,3,False,2021-08-16T17:00:00Z,1,0,15,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,9,43,7,208,8,1
204,127,3,2,True,2021-08-22T15:30:00Z,1,1,16,78,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,4,43,-5,203,4,9
