element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
207,2,4,4,True,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,6,50,0,1922,0,0
207,14,11,2,False,2021-04-18T13:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,50,113,2143,189,76
207,20,10,2,False,2021-04-25T13:00:00Z,1,0,3,83,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,2,50,-137,2022,43,180
207,29,9,1,True,2021-05-02T13:00:00Z,0,3,4,62,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,4,50,-218,1808,10,228
207,36,15,4,True,2021-05-08T15:30:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,8,50,-198,1611,7,205
207,41,6,0,False,2021-05-12T16:30:00Z,2,3,6,45,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,49,-98,1513,7,105
207,49,16,2,False,2021-05-18T16:30:00Z,3,0,7,71,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,49,-152,1362,3,155
207,64,1,0,True,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-102,1262,1,103
207,67,7,1,False,2021-07-05T17:00:00Z,3,0,9,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,47,-158,1105,1,159
207,76,5,1,False,2021-07-11T15:30:00Z,2,1,10,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,47,-64,1041,1,65
207,88,2,3,True,2021-07-18T13:00:00Z,0,2,11,74,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,6,46,-65,978,1,66
207,95,12,7,True,2021-07-26T17:00:00Z,1,1,12,69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,46,-50,930,4,54
207,101,3,3,False,2021-08-02T17:00:00Z,1,2,13,75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,46,0,933,42,42
207,112,14,7,True,2021-08-07T15:30:00Z,2,2,14,90,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,46,0,934,38,38
207,119,13,3,False,2021-08-16T17:00:00Z,1,0,15,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,92,1036,119,27
207,127,3,2,True,2021-08-22T15:30:00Z,1,1,16,72,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,4,46,78,1122,118,40
