element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
211,2,4,5,True,2021-04-10T15:30:00Z,0,0,1,87,0,0,1,0,0,0,0,0,0,0,1,1,3,2,0,3,6,60,0,570,0,0
211,14,11,2,False,2021-04-18T13:00:00Z,5,0,2,83,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3,60,48,669,75,27
211,20,10,3,False,2021-04-25T13:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,60,-61,625,9,70
211,29,9,2,True,2021-05-02T13:00:00Z,0,3,4,83,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,60,-58,571,4,62
211,36,15,8,True,2021-05-08T15:30:00Z,1,0,5,90,0,1,1,0,0,0,0,0,0,0,2,0,2,3,2,4,4,60,-67,505,6,73
211,41,6,11,False,2021-05-12T16:30:00Z,2,3,6,90,0,2,0,2,0,0,0,0,0,0,2,1,0,3,1,3,8,59,-4,504,17,21
211,49,16,4,False,2021-05-18T16:30:00Z,3,0,7,90,0,0,0,3,0,0,0,0,0,0,2,0,4,4,0,4,5,59,176,696,194,18
211,64,1,2,True,2021-05-24T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,5,59,49,762,89,40
211,67,7,2,False,2021-07-05T17:00:00Z,3,0,9,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,60,-17,756,30,47
211,76,5,2,False,2021-07-11T15:30:00Z,2,1,10,64,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,60,-11,749,19,30
211,88,2,3,True,2021-07-18T13:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,7,60,-25,727,13,38
211,95,12,2,True,2021-07-26T17:00:00Z,1,1,12,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,60,-11,722,15,26
211,101,3,6,False,2021-08-02T17:00:00Z,1,2,13,83,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,5,60,5,729,36,31
211,112,14,3,True,2021-08-07T15:30:00Z,2,2,14,84,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,60,70,801,90,20
211,119,13,3,False,2021-08-16T17:00:00Z,1,0,15,63,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,60,11,819,39,28
211,127,3,3,True,2021-08-22T15:30:00Z,1,1,16,55,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,4,6,60,-33,790,14,47
