element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
219,2,4,2,True,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,65,0,2951,0,0
219,14,11,1,False,2021-04-18T13:00:00Z,5,0,2,83,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,3,65,136,3247,256,120
219,20,10,2,False,2021-04-25T13:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,65,-475,2794,64,539
219,29,9,2,True,2021-05-02T13:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,5,64,-588,2211,9,597
219,36,15,7,True,2021-05-08T15:30:00Z,1,0,5,85,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,63,-314,1905,15,329
219,41,6,8,False,2021-05-12T16:30:00Z,2,3,6,90,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,9,63,-75,1837,25,100
219,49,16,4,False,2021-05-18T16:30:00Z,3,0,7,90,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,0,6,63,-3,1840,75,78
219,64,1,7,True,2021-05-24T16:30:00Z,1,2,8,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,63,-118,1725,17,135
219,67,7,2,False,2021-07-05T17:00:00Z,3,0,9,77,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,62,-28,1708,36,64
219,76,5,7,False,2021-07-11T15:30:00Z,2,1,10,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,62,-73,1640,11,84
219,88,2,2,True,2021-07-18T13:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,62,64,1707,93,29
219,95,12,2,True,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,62,13,1724,89,76
219,101,3,2,False,2021-08-02T17:00:00Z,1,2,13,87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,62,204,1936,253,49
219,112,14,0,True,2021-08-07T15:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,153,2093,257,104
219,119,13,2,False,2021-08-16T17:00:00Z,1,0,15,63,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,8,62,-162,1941,30,192
219,127,3,7,True,2021-08-22T15:30:00Z,1,1,16,71,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,62,-123,1819,23,146
