element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
224,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,107,0,0
224,12,7,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-17,93,0,17
224,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-11,82,0,11
224,29,8,0,False,2021-05-02T13:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-6,76,0,6
224,40,12,0,True,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-8,68,0,8
224,48,16,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,65,0,3
224,55,13,0,False,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,62,0,3
224,63,5,0,False,2021-05-24T16:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-2,60,0,2
224,70,1,0,True,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,60,1,1
224,79,14,0,False,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-2,58,0,2
224,87,6,0,True,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,57,0,1
224,90,2,0,False,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,56,0,1
224,100,4,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,55,0,1
224,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,55,0,0
224,120,11,0,False,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,55,0,0
224,123,15,0,False,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-1,54,0,1
