element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
226,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,93,0,0
226,12,7,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-14,81,0,14
226,19,15,1,True,2021-04-25T13:00:00Z,2,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54,-13,68,0,13
226,29,8,1,False,2021-05-02T13:00:00Z,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,66,0,2
226,40,12,0,True,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,65,0,2
226,48,16,1,True,2021-05-13T16:30:00Z,1,1,6,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,54,-1,66,0,1
226,55,13,1,False,2021-05-17T16:30:00Z,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,-3,64,0,3
226,63,5,1,False,2021-05-24T16:30:00Z,1,0,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,-1,63,0,1
226,70,1,1,True,2021-07-03T13:00:00Z,3,2,9,79,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,1,53,-1,62,0,1
226,79,14,6,False,2021-07-11T13:00:00Z,0,1,10,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,53,1,63,1,0
226,87,6,2,True,2021-07-18T13:00:00Z,0,1,11,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,53,5,68,5,0
226,90,2,1,False,2021-07-25T15:30:00Z,2,1,12,83,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,2,53,5,73,5,0
226,100,4,1,False,2021-08-02T17:00:00Z,1,2,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6,79,7,1
226,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,45,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,2,2,53,-2,77,1,3
226,120,11,1,False,2021-08-15T15:30:00Z,1,2,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,53,0,77,1,1
226,123,15,0,False,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-5,74,0,5
