element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
232,5,3,4,True,2021-04-11T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,10,60,0,2560,0,0
232,12,7,4,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,15,60,-54,2656,19,73
232,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-315,2359,63,378
232,29,8,6,False,2021-05-02T13:00:00Z,0,3,4,79,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,60,-493,1866,1,494
232,40,12,7,True,2021-05-10T16:30:00Z,2,0,5,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,4,60,-46,1826,22,68
232,48,16,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,60,74,1905,89,15
232,55,13,2,False,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,6,60,-17,1893,35,52
232,63,5,3,False,2021-05-24T16:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,6,2,60,-8,1888,31,39
232,70,1,11,True,2021-07-03T13:00:00Z,3,2,9,90,0,2,0,2,0,0,0,0,0,0,2,2,0,3,1,6,7,60,-30,1864,15,45
232,79,14,7,False,2021-07-11T13:00:00Z,0,1,10,68,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,6,61,435,2324,460,25
232,87,6,3,True,2021-07-18T13:00:00Z,0,1,11,90,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,4,61,208,2548,234,26
232,90,2,2,False,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,8,1,61,86,2651,164,78
232,100,4,4,False,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,7,62,267,2926,326,59
232,110,10,2,True,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,4,5,62,287,3219,376,89
232,120,11,8,False,2021-08-15T15:30:00Z,1,2,15,90,0,1,0,1,0,0,0,0,0,0,1,2,1,2,1,6,6,63,439,3664,511,72
232,123,15,1,False,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,6,63,151,3818,252,101
