element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
235,5,3,2,True,2021-04-11T15:30:00Z,1,1,1,72,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,5,90,0,3077,0,0
235,12,7,4,False,2021-04-18T15:30:00Z,1,0,2,66,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,3,2,90,-226,2994,38,264
235,19,15,2,True,2021-04-25T13:00:00Z,2,1,3,81,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,90,-293,2730,36,329
235,29,8,3,False,2021-05-02T13:00:00Z,0,3,4,79,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,89,-285,2454,25,310
235,40,12,4,True,2021-05-10T16:30:00Z,2,0,5,77,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,7,88,-393,2066,9,402
235,48,16,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,3,5,88,-139,1929,8,147
235,55,13,2,False,2021-05-17T16:30:00Z,2,1,7,82,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,87,-132,1802,25,157
235,63,5,1,False,2021-05-24T16:30:00Z,1,0,8,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,-105,1700,7,112
235,70,1,0,True,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,-42,1663,20,62
235,79,14,0,False,2021-07-11T13:00:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,-137,1526,0,137
235,87,6,0,True,2021-07-18T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,-74,1452,0,74
235,90,2,3,False,2021-07-25T15:30:00Z,2,1,12,18,0,0,0,1,0,0,0,0,0,0,2,0,0,3,1,0,5,85,-32,1420,1,33
235,100,4,1,False,2021-08-02T17:00:00Z,1,2,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,85,-16,1404,8,24
235,110,10,1,True,2021-08-09T17:00:00Z,1,2,14,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,85,-10,1394,2,12
235,120,11,1,False,2021-08-15T15:30:00Z,1,2,15,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,85,-16,1381,6,22
235,123,15,6,False,2021-08-22T13:00:00Z,2,1,16,27,0,1,0,1,0,0,0,0,0,0,2,0,3,3,1,1,2,85,-8,1373,11,19
