element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
236,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,21,0,0
236,12,7,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,22,0,1
236,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-1,22,1,2
236,29,8,0,False,2021-05-02T13:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,22,0,0
236,40,12,0,True,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,22,0,0
236,48,16,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,22,0,0
236,55,13,1,False,2021-05-17T16:30:00Z,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,-2,20,0,2
236,63,5,1,False,2021-05-24T16:30:00Z,1,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,3,23,3,0
236,70,1,1,True,2021-07-03T13:00:00Z,3,2,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,44,5,29,11,6
236,79,14,1,False,2021-07-11T13:00:00Z,0,1,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,44,4,33,4,0
236,87,6,1,True,2021-07-18T13:00:00Z,0,1,11,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44,6,40,8,2
236,90,2,1,False,2021-07-25T15:30:00Z,2,1,12,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,44,9,49,10,1
236,100,4,6,False,2021-08-02T17:00:00Z,1,2,13,61,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,44,15,64,17,2
236,110,10,1,True,2021-08-09T17:00:00Z,1,2,14,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,44,264,328,281,17
236,120,11,2,False,2021-08-15T15:30:00Z,1,2,15,72,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,44,13,341,37,24
236,123,15,1,False,2021-08-22T13:00:00Z,2,1,16,73,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,2,44,-4,338,30,34
