element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
237,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,201,0,0
237,12,7,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-22,201,2,24
237,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-23,178,3,26
237,29,8,1,False,2021-05-02T13:00:00Z,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,-27,151,0,27
237,40,12,1,True,2021-05-10T16:30:00Z,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,-8,144,1,9
237,48,16,1,True,2021-05-13T16:30:00Z,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-5,140,0,5
237,55,13,6,False,2021-05-17T16:30:00Z,2,1,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,-6,134,1,7
237,63,5,2,False,2021-05-24T16:30:00Z,1,0,8,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0,134,3,3
237,70,1,2,True,2021-07-03T13:00:00Z,3,2,9,63,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,57,0,136,5,5
237,79,14,8,False,2021-07-11T13:00:00Z,0,1,10,68,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,57,2,139,2,0
237,87,6,1,True,2021-07-18T13:00:00Z,0,1,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,33,173,36,3
237,90,2,2,False,2021-07-25T15:30:00Z,2,1,12,31,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,57,6,181,16,10
237,100,4,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5,186,8,3
237,110,10,4,True,2021-08-09T17:00:00Z,1,2,14,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,-2,184,6,8
237,120,11,0,False,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-6,179,3,9
237,123,15,1,False,2021-08-22T13:00:00Z,2,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,-5,177,3,8
