element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
23,2,4,3,True,2021-04-10T15:30:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,4,60,0,1062,0,0
23,14,11,1,False,2021-04-18T13:00:00Z,5,0,2,45,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,1,1,60,73,1221,118,45
23,20,10,3,False,2021-04-25T13:00:00Z,1,0,3,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,60,-165,1065,15,180
23,29,9,2,True,2021-05-02T13:00:00Z,0,3,4,45,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,1,6,59,-166,901,5,171
23,36,15,0,True,2021-05-08T15:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-141,763,7,148
23,41,6,4,False,2021-05-12T16:30:00Z,2,3,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,-115,649,2,117
23,49,16,1,False,2021-05-18T16:30:00Z,3,0,7,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-50,599,1,51
23,64,1,2,True,2021-05-24T16:30:00Z,1,2,8,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,57,-46,553,0,46
23,67,7,2,False,2021-07-05T17:00:00Z,3,0,9,77,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,56,-25,528,3,28
23,76,5,2,False,2021-07-11T15:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,1,56,-9,520,1,10
23,88,2,2,True,2021-07-18T13:00:00Z,0,2,11,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,56,-14,507,1,15
23,95,12,1,True,2021-07-26T17:00:00Z,1,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,-19,489,1,20
23,101,3,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-10,479,2,12
23,112,14,0,True,2021-08-07T15:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-12,467,0,12
23,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-16,451,0,16
23,126,16,0,True,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-9,442,0,9
