element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
244,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,79,0,0
244,12,7,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-6,79,1,7
244,19,15,1,True,2021-04-25T13:00:00Z,2,1,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-14,67,4,18
244,29,8,7,False,2021-05-02T13:00:00Z,0,3,4,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,2,71,8,6
244,40,12,1,True,2021-05-10T16:30:00Z,2,0,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,71,151,121,50
244,48,16,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,46,198,58,12
244,55,13,0,False,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8,207,43,35
244,63,5,2,False,2021-05-24T16:30:00Z,1,0,8,45,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,49,-32,175,2,34
244,70,1,7,True,2021-07-03T13:00:00Z,3,2,9,63,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,50,1,177,23,22
244,79,14,2,False,2021-07-11T13:00:00Z,0,1,10,68,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,50,62,239,79,17
244,87,6,1,True,2021-07-18T13:00:00Z,0,1,11,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,31,272,45,14
244,90,2,2,False,2021-07-25T15:30:00Z,2,1,12,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,50,-7,265,28,35
244,100,4,7,False,2021-08-02T17:00:00Z,1,2,13,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,16,283,31,15
244,110,10,2,True,2021-08-09T17:00:00Z,1,2,14,69,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,50,250,536,288,38
244,120,11,2,False,2021-08-15T15:30:00Z,1,2,15,63,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,50,4,545,75,71
244,123,15,1,False,2021-08-22T13:00:00Z,2,1,16,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-42,505,55,97
