element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
245,5,3,0,True,2021-04-11T15:30:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,369,0,0
245,12,7,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,428,47,27
245,19,15,0,True,2021-04-25T13:00:00Z,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,460,57,36
245,29,8,0,False,2021-05-02T13:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-1,464,29,30
245,40,12,0,True,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-16,451,21,37
245,48,16,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-14,437,10,24
245,55,13,0,False,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-20,418,10,30
245,63,5,1,False,2021-05-24T16:30:00Z,1,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-5,415,16,21
245,70,1,5,True,2021-07-03T13:00:00Z,3,2,9,26,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,39,13,428,65,52
245,79,14,1,False,2021-07-11T13:00:00Z,0,1,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,120,551,147,27
245,87,6,2,True,2021-07-18T13:00:00Z,0,1,11,31,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,39,104,656,123,19
245,90,2,1,False,2021-07-25T15:30:00Z,2,1,12,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,152,816,192,40
245,100,4,0,False,2021-08-02T17:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,68,888,128,60
245,110,10,0,True,2021-08-09T17:00:00Z,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-30,861,89,119
245,120,11,0,False,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-165,696,5,170
245,123,15,0,False,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-83,614,5,88
