element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
253,8,11,7,True,2021-04-12T17:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,6,55,0,1557,0,0
253,11,16,7,False,2021-04-18T13:00:00Z,0,1,2,88,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,9,55,-30,1576,26,56
253,20,8,8,True,2021-04-25T13:00:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,0,1,1,1,3,0,1,7,55,116,1766,156,40
253,25,3,5,False,2021-05-01T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,2,1,3,1,1,3,8,55,369,2229,424,55
253,34,5,7,False,2021-05-08T15:30:00Z,2,2,5,90,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,10,55,380,2694,447,67
253,44,4,7,True,2021-05-12T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,8,56,835,3582,861,26
253,53,1,2,False,2021-05-17T16:30:00Z,3,1,7,87,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,8,57,562,4189,699,137
253,62,2,3,True,2021-05-23T13:00:00Z,2,1,8,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,11,58,876,5127,926,50
253,72,13,1,False,2021-07-04T13:00:00Z,1,1,9,80,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,59,594,5768,695,101
253,77,6,2,True,2021-07-12T17:00:00Z,2,3,10,90,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,9,59,126,5910,277,151
253,81,12,1,False,2021-07-18T15:30:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,3,59,-175,5744,72,247
253,92,7,2,True,2021-07-25T13:00:00Z,0,1,12,64,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3,59,-266,5485,51,317
253,102,14,8,True,2021-08-01T15:30:00Z,1,0,13,84,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,6,6,59,38,5533,199,161
253,110,9,1,False,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,3,59,37,5578,145,108
253,116,15,0,True,2021-08-14T15:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-293,5289,132,425
253,128,11,6,False,2021-08-23T17:00:00Z,0,1,16,90,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,5,58,-218,5077,78,296
