element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
254,8,11,0,True,2021-04-12T17:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,6702,0,0
254,11,16,0,False,2021-04-18T13:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-383,6458,26,409
254,20,8,0,True,2021-04-25T13:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-729,5734,3,732
254,25,3,0,False,2021-05-01T13:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,-551,5184,3,554
254,34,5,0,False,2021-05-08T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-290,4902,53,343
254,44,4,0,True,2021-05-12T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-143,4761,15,158
254,53,1,1,False,2021-05-17T16:30:00Z,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-281,4482,22,303
254,62,2,0,True,2021-05-23T13:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-71,4418,54,125
254,72,13,3,False,2021-07-04T13:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,5,38,-106,4318,100,206
254,77,6,6,True,2021-07-12T17:00:00Z,2,3,10,71,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,1,38,68,4390,162,94
254,81,12,2,False,2021-07-18T15:30:00Z,2,0,11,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,38,171,4569,257,86
254,92,7,2,True,2021-07-25T13:00:00Z,0,1,12,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,38,393,4976,461,68
254,102,14,1,True,2021-08-01T15:30:00Z,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39,175,5158,275,100
254,110,9,6,False,2021-08-09T17:00:00Z,1,2,14,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,39,-19,5141,136,155
254,116,15,0,True,2021-08-14T15:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,5202,174,118
254,128,11,0,False,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-76,5134,138,214
