element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
268,8,11,1,True,2021-04-12T17:00:00Z,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,70,0,0
268,11,16,9,False,2021-04-18T13:00:00Z,0,1,2,70,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,3,60,-5,70,1,6
268,20,8,7,True,2021-04-25T13:00:00Z,1,0,3,90,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,1,4,60,113,214,129,16
268,25,3,7,False,2021-05-01T13:00:00Z,1,1,4,90,0,1,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,60,241,485,260,19
268,34,5,7,False,2021-05-08T15:30:00Z,2,2,5,90,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,61,899,1456,972,73
268,44,4,4,True,2021-05-12T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,3,62,830,2316,871,41
268,53,1,2,False,2021-05-17T16:30:00Z,3,1,7,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,5,62,483,2829,581,98
268,62,2,8,True,2021-05-23T13:00:00Z,2,1,8,90,0,1,0,1,0,0,0,0,0,0,2,1,2,5,3,1,8,63,281,3143,389,108
268,72,13,8,False,2021-07-04T13:00:00Z,1,1,9,90,1,0,0,1,0,0,0,0,0,0,1,0,2,3,0,1,0,64,972,4156,1102,130
268,77,6,9,True,2021-07-12T17:00:00Z,2,3,10,90,1,0,0,3,0,0,0,0,0,0,2,0,1,4,1,0,1,65,1266,5463,1311,45
268,81,12,2,False,2021-07-18T15:30:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,66,1327,6829,1390,63
268,92,7,2,True,2021-07-25T13:00:00Z,0,1,12,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,780,7648,926,146
268,102,14,8,True,2021-08-01T15:30:00Z,1,0,13,90,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,68,1017,8706,1156,139
268,110,9,3,False,2021-08-09T17:00:00Z,1,2,14,90,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,3,6,69,714,9443,877,163
268,116,15,2,True,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,3,70,780,10248,940,160
268,128,11,7,False,2021-08-23T17:00:00Z,0,1,16,90,0,1,1,0,0,0,1,0,0,0,2,0,3,4,0,0,1,70,545,10814,853,308
