element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
272,8,11,0,True,2021-04-12T17:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1196,0,0
272,11,16,0,False,2021-04-18T13:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-130,1153,10,140
272,20,8,0,True,2021-04-25T13:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-253,908,12,265
272,25,3,1,False,2021-05-01T13:00:00Z,1,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,-156,753,4,160
272,34,5,1,False,2021-05-08T15:30:00Z,2,2,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,-25,731,18,43
272,44,4,1,True,2021-05-12T16:30:00Z,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,-20,712,7,27
272,53,1,1,False,2021-05-17T16:30:00Z,3,1,7,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,58,-40,674,4,44
272,62,2,2,True,2021-05-23T13:00:00Z,2,1,8,60,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,57,-31,644,2,33
272,72,13,2,False,2021-07-04T13:00:00Z,1,1,9,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,25,677,45,20
272,77,6,2,True,2021-07-12T17:00:00Z,2,3,10,63,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,57,4,681,13,9
272,81,12,2,False,2021-07-18T15:30:00Z,2,0,11,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,57,-6,678,10,16
272,92,7,1,True,2021-07-25T13:00:00Z,0,1,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-1,679,11,12
272,102,14,4,True,2021-08-01T15:30:00Z,1,0,13,83,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,2,7,57,-11,668,10,21
272,110,9,11,False,2021-08-09T17:00:00Z,1,2,14,70,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,57,-4,664,8,12
272,116,15,2,True,2021-08-14T15:30:00Z,1,1,15,75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,57,349,1023,366,17
272,128,11,7,False,2021-08-23T17:00:00Z,0,1,16,90,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,4,57,135,1166,197,62
