element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
27,1,2,0,True,2021-04-10T13:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,761,0,0
27,10,6,1,False,2021-04-18T13:00:00Z,1,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,-65,733,8,73
27,21,11,0,True,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-61,682,14,75
27,31,7,0,False,2021-05-03T16:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-77,610,3,80
27,38,13,0,True,2021-05-09T15:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-62,549,1,63
27,46,12,1,False,2021-05-13T16:30:00Z,1,1,6,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,53,-35,516,2,37
27,53,10,0,True,2021-05-17T16:30:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-17,499,6,23
27,103,5,0,True,2021-05-20T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-17,499,6,23
27,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-28,471,1,29
27,70,9,1,False,2021-07-03T13:00:00Z,3,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-14,462,2,16
27,78,3,0,True,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-10,452,0,10
27,86,4,12,False,2021-07-18T16:00:00Z,3,2,11,90,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,52,22,475,34,12
27,93,1,2,True,2021-07-24T13:00:00Z,0,2,12,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,52,1143,1632,1194,51
27,102,10,2,False,2021-08-01T15:30:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,52,546,2191,593,47
27,112,8,2,False,2021-08-07T15:30:00Z,2,2,14,68,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,53,25,2217,192,167
27,118,7,2,True,2021-08-15T13:00:00Z,0,1,15,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,53,-224,1997,40,264
27,122,7,2,False,2021-08-23T17:00:00Z,0,0,16,86,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,-202,1803,70,272
