element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
28,1,2,4,True,2021-04-10T13:00:00Z,3,2,1,54,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,100,0,2975,0,0
28,10,6,3,False,2021-04-18T13:00:00Z,1,2,2,90,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,3,100,-518,2626,25,543
28,21,11,3,True,2021-04-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,1,3,100,341,3040,508,167
28,31,7,2,False,2021-05-03T16:30:00Z,3,1,4,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,100,-277,2804,53,330
28,38,13,2,True,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,100,-221,2599,68,289
28,46,12,2,False,2021-05-13T16:30:00Z,1,1,6,58,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,99,-308,2296,8,316
28,53,10,1,True,2021-05-17T16:30:00Z,3,1,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-66,2236,102,168
28,103,5,1,True,2021-05-20T16:30:00Z,2,1,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,-66,2236,102,168
28,64,8,0,False,2021-05-24T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-529,1707,5,534
28,70,9,0,False,2021-07-03T13:00:00Z,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-217,1490,0,217
28,78,3,0,True,2021-07-10T13:00:00Z,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-60,1430,0,60
28,82,16,0,False,2021-07-17T13:00:00Z,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-42,1388,0,42
28,93,14,0,False,2021-07-24T13:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-29,1359,0,29
28,107,15,0,False,2021-08-07T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-9,1340,0,9
28,117,4,0,True,2021-08-14T13:00:00Z,2,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-15,1325,0,15
28,126,16,0,True,2021-08-21T13:00:00Z,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,-7,1318,0,7
