element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
291,8,10,0,False,2021-04-12T17:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,19,0,0
291,14,8,0,True,2021-04-18T13:00:00Z,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2,20,0,2
291,21,1,1,False,2021-04-25T15:30:00Z,1,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,44,-2,19,1,3
291,30,13,1,True,2021-05-02T13:00:00Z,1,2,4,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,44,7,26,9,2
291,39,14,0,False,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19,47,28,9
291,42,7,1,False,2021-05-12T16:30:00Z,2,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-2,48,1,3
291,56,12,1,True,2021-05-17T16:30:00Z,1,2,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,13,61,17,4
291,58,3,0,True,2021-05-22T15:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2,59,1,3
291,66,16,1,False,2021-07-03T15:30:00Z,3,1,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44,-3,56,1,4
291,80,4,1,True,2021-07-11T15:30:00Z,2,3,10,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,44,-2,54,1,3
291,85,5,1,False,2021-07-17T15:30:00Z,3,0,11,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,51,0,3
291,96,15,2,True,2021-07-26T17:00:00Z,0,1,12,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,5,44,0,51,0,0
291,104,2,2,True,2021-08-01T15:30:00Z,1,1,13,83,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,44,-3,48,0,3
291,105,6,2,False,2021-08-08T13:00:00Z,5,0,14,75,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,1,44,0,48,0,0
291,120,9,7,True,2021-08-15T15:30:00Z,1,2,15,90,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0,48,0,0
291,128,10,1,True,2021-08-23T17:00:00Z,0,1,16,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,44,3,51,4,1
