element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
292,8,10,0,False,2021-04-12T17:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,28,0,0
292,14,8,1,True,2021-04-18T13:00:00Z,5,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,-1,29,1,2
292,21,1,0,False,2021-04-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,27,0,2
292,30,13,1,True,2021-05-02T13:00:00Z,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,25,0,2
292,39,14,0,False,2021-05-09T13:00:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,25,0,0
292,42,7,1,False,2021-05-12T16:30:00Z,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-1,24,0,1
292,56,12,1,True,2021-05-17T16:30:00Z,1,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,-1,23,0,1
292,58,3,0,True,2021-05-22T15:30:00Z,3,0,8,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49,-1,22,0,1
292,66,16,0,False,2021-07-03T15:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22,0,0
292,80,4,0,True,2021-07-11T15:30:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22,0,0
292,85,5,0,False,2021-07-17T15:30:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22,0,0
292,96,15,3,True,2021-07-26T17:00:00Z,0,1,12,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,48,0,22,0,0
292,104,2,0,True,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22,0,0
292,105,6,0,False,2021-08-08T13:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22,0,0
292,120,9,0,True,2021-08-15T15:30:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,22,0,0
292,128,10,0,True,2021-08-23T17:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,22,0,1
