element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
305,7,16,11,True,2021-04-12T17:00:00Z,2,0,1,90,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,3,6,55,0,991,0,0
305,15,4,3,False,2021-04-19T17:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,4,7,56,1307,2689,1360,53
305,18,2,8,True,2021-04-25T15:30:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,11,56,206,3032,391,185
305,26,5,7,True,2021-05-02T15:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,2,10,57,1099,4244,1175,76
305,40,9,2,False,2021-05-10T16:30:00Z,2,0,5,90,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,4,8,58,1185,5551,1307,122
305,46,1,3,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,6,7,58,576,6176,671,95
305,56,11,3,False,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,6,59,714,6926,917,203
305,57,14,2,True,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4,6,60,1554,8539,1612,58
305,65,6,4,False,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,2,1,3,1,1,2,7,61,599,9186,829,230
305,73,13,8,True,2021-07-10T15:30:00Z,2,1,10,90,0,1,0,1,0,0,0,0,0,0,2,1,3,3,0,2,9,62,730,9932,833,103
305,81,10,7,True,2021-07-18T15:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,6,63,853,10823,921,68
305,95,8,3,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,1,0,0,0,2,0,3,2,1,3,5,64,1027,11883,1073,46
305,97,15,10,True,2021-08-02T17:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,0,0,2,2,2,3,2,1,12,65,631,12548,712,81
305,106,7,1,False,2021-08-08T13:00:00Z,1,4,14,90,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,3,65,305,12877,408,103
305,115,3,0,False,2021-08-16T17:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-54,12847,690,744
305,121,6,4,True,2021-08-22T15:30:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,7,12,66,57,12928,379,322
