element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
310,7,16,7,True,2021-04-12T17:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,2,2,4,6,1,6,7,100,0,5113,0,0
310,15,4,4,False,2021-04-19T17:00:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,2,0,5,4,0,1,5,100,-33,5403,129,162
310,18,2,8,True,2021-04-25T15:30:00Z,2,0,3,90,0,1,1,0,0,0,1,0,0,0,2,1,3,2,1,0,7,100,-296,5172,113,409
310,26,5,6,True,2021-05-02T15:30:00Z,1,0,4,59,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,100,234,5472,356,122
310,40,9,3,False,2021-05-10T16:30:00Z,2,0,5,90,0,0,0,2,0,0,1,0,0,0,1,1,3,2,0,2,8,100,-62,5472,301,363
310,46,1,2,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,1,0,0,0,1,0,3,2,0,2,4,100,-85,5410,113,198
310,56,11,0,False,2021-05-17T16:30:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-1275,4147,38,1313
310,57,14,1,True,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,5,99,913,5069,1116,203
310,65,6,0,False,2021-07-04T13:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-558,4524,141,699
310,73,13,4,True,2021-07-10T15:30:00Z,2,1,10,85,0,0,0,1,0,0,0,0,0,0,1,1,4,2,0,2,7,99,-90,4440,150,240
310,81,10,11,True,2021-07-18T15:30:00Z,2,0,11,90,1,1,1,0,0,0,1,0,0,0,0,1,2,2,0,2,9,99,-35,4415,109,144
310,95,8,7,False,2021-07-26T17:00:00Z,1,1,12,90,0,1,0,1,0,0,0,0,0,0,2,0,8,8,0,4,2,99,321,4749,401,80
310,97,15,6,True,2021-08-02T17:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,0,0,2,1,4,3,0,2,8,100,388,5151,450,62
310,106,7,11,False,2021-08-08T13:00:00Z,1,4,14,90,1,1,0,1,0,0,0,0,0,0,0,1,2,2,0,2,6,100,-17,5142,182,199
310,115,3,4,False,2021-08-16T17:00:00Z,0,1,15,90,0,0,1,0,0,0,1,0,0,0,1,1,4,2,0,2,7,101,1012,6188,1036,24
310,121,6,0,True,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,-272,5929,338,610
