element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
311,7,16,11,True,2021-04-12T17:00:00Z,2,0,1,89,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,2,5,60,0,1175,0,0
311,15,4,2,False,2021-04-19T17:00:00Z,2,0,2,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,61,1432,3031,1501,69
311,18,2,4,True,2021-04-25T15:30:00Z,2,0,3,90,0,0,1,0,0,0,1,0,0,0,2,0,1,3,1,0,5,61,272,3493,555,283
311,26,5,3,True,2021-05-02T15:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,61,272,3842,466,194
311,40,9,2,False,2021-05-10T16:30:00Z,2,0,5,81,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,61,-129,3752,226,355
311,46,1,2,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,61,-159,3601,103,262
311,56,11,10,False,2021-05-17T16:30:00Z,1,2,7,90,0,2,0,1,0,0,0,0,0,0,2,0,1,2,2,1,3,61,-91,3522,244,335
311,57,14,7,True,2021-05-22T13:00:00Z,2,2,8,74,0,1,0,2,0,0,0,0,0,0,2,0,1,3,2,1,1,62,973,4522,1057,84
311,65,6,2,False,2021-07-04T13:00:00Z,2,1,9,68,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,63,882,5457,1091,209
311,73,13,0,True,2021-07-10T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-146,5326,428,574
311,81,10,1,True,2021-07-18T15:30:00Z,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-1560,3768,5,1565
311,95,8,2,False,2021-07-26T17:00:00Z,1,1,12,56,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,3,62,-218,3554,78,296
311,97,15,0,True,2021-08-02T17:00:00Z,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,-109,3445,86,195
311,106,7,0,False,2021-08-08T13:00:00Z,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,-404,3045,15,419
311,115,3,0,False,2021-08-16T17:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-359,2687,14,373
311,121,6,0,True,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-273,2415,5,278
