element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
313,7,16,5,True,2021-04-12T17:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,7,4,55,0,866,0,0
313,15,4,3,False,2021-04-19T17:00:00Z,2,0,2,86,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,7,55,71,1056,117,46
313,18,2,5,True,2021-04-25T15:30:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,14,55,-17,1067,61,78
313,26,5,4,True,2021-05-02T15:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,8,55,19,1114,95,76
313,40,9,3,False,2021-05-10T16:30:00Z,2,0,5,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,5,55,49,1181,115,66
313,46,1,2,True,2021-05-13T16:30:00Z,1,1,6,90,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,4,6,55,-1,1194,45,46
313,56,11,2,False,2021-05-17T16:30:00Z,1,2,7,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,5,55,95,1302,161,66
313,57,14,3,True,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,3,6,55,0,1308,69,69
313,65,6,3,False,2021-07-04T13:00:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,4,9,56,-46,1270,29,75
313,73,13,2,True,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,56,3,1276,45,42
313,81,10,2,True,2021-07-18T15:30:00Z,2,0,11,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,56,-11,1268,43,54
313,95,8,3,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,9,56,-26,1246,37,63
313,97,15,4,True,2021-08-02T17:00:00Z,1,0,13,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,8,56,-31,1218,17,48
313,106,7,5,False,2021-08-08T13:00:00Z,1,4,14,90,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,10,6,56,-45,1176,6,51
313,115,3,3,False,2021-08-16T17:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,3,56,-22,1159,32,54
313,121,6,7,True,2021-08-22T15:30:00Z,2,1,16,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,56,-5,1161,36,41
