element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
316,7,16,0,True,2021-04-12T17:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,353,0,0
316,15,4,0,False,2021-04-19T17:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,-65,290,2,67
316,18,2,0,True,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-34,257,0,34
316,26,5,0,True,2021-05-02T15:30:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-31,226,0,31
316,40,9,0,False,2021-05-10T16:30:00Z,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-16,210,0,16
316,46,1,0,True,2021-05-13T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-5,205,0,5
316,56,11,0,False,2021-05-17T16:30:00Z,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-2,203,0,2
316,57,14,0,True,2021-05-22T13:00:00Z,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-1,202,0,1
316,65,6,1,False,2021-07-04T13:00:00Z,2,1,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,-1,201,0,1
316,73,13,6,True,2021-07-10T15:30:00Z,2,1,10,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,68,5,207,7,2
316,81,10,3,True,2021-07-18T15:30:00Z,2,0,11,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,68,45,255,46,1
316,95,8,3,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,2,68,9,264,21,12
316,97,15,1,True,2021-08-02T17:00:00Z,1,0,13,49,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,6,68,-1,264,6,7
316,106,7,2,False,2021-08-08T13:00:00Z,1,4,14,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,68,-16,248,2,18
316,115,3,1,False,2021-08-16T17:00:00Z,0,1,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,-3,245,6,9
316,121,6,0,True,2021-08-22T15:30:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,-7,238,3,10
