element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
318,7,16,3,True,2021-04-12T17:00:00Z,2,0,1,79,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,60,0,497,0,0
318,15,4,1,False,2021-04-19T17:00:00Z,2,0,2,60,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,60,62,638,105,43
318,18,2,1,True,2021-04-25T15:30:00Z,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,-83,563,48,131
318,26,5,1,True,2021-05-02T15:30:00Z,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,-101,466,4,105
318,40,9,1,False,2021-05-10T16:30:00Z,2,0,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58,-89,379,2,91
318,46,1,1,True,2021-05-13T16:30:00Z,1,1,6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,-32,347,2,34
318,56,11,1,False,2021-05-17T16:30:00Z,1,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-30,317,0,30
318,57,14,1,True,2021-05-22T13:00:00Z,2,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,57,-32,285,0,32
318,65,6,6,False,2021-07-04T13:00:00Z,2,1,9,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,-8,278,1,9
318,73,13,7,True,2021-07-10T15:30:00Z,2,1,10,90,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,56,14,293,18,4
318,81,10,2,True,2021-07-18T15:30:00Z,2,0,11,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,56,280,581,293,13
318,95,8,3,False,2021-07-26T17:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,56,19,605,73,54
318,97,15,1,True,2021-08-02T17:00:00Z,1,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,-7,600,46,53
318,106,7,1,False,2021-08-08T13:00:00Z,1,4,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-94,508,9,103
318,115,3,6,False,2021-08-16T17:00:00Z,0,1,15,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,56,-102,406,3,105
318,121,6,1,True,2021-08-22T15:30:00Z,2,1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-23,384,15,38
