element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
31,1,1,2,False,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,1,8,55,0,2865,0,0
31,9,14,9,True,2021-04-17T13:00:00Z,2,0,2,90,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,2,11,55,-35,3039,72,107
31,18,12,3,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,13,55,30,3154,116,86
31,28,6,4,True,2021-05-01T15:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,8,55,-29,3155,68,97
31,33,3,2,True,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,3,55,-36,3139,59,95
31,45,13,6,False,2021-05-12T16:30:00Z,1,3,6,90,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,1,12,55,-66,3077,17,83
31,50,7,3,True,2021-05-16T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,1,7,55,-85,3004,11,96
31,62,10,0,False,2021-05-23T13:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-24,2985,39,63
31,68,15,4,True,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,2,8,54,-33,2959,69,102
31,75,16,4,True,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,7,54,-23,2944,25,48
31,88,8,0,False,2021-07-18T13:00:00Z,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-35,2922,17,52
31,90,9,0,True,2021-07-25T15:30:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-136,2793,13,149
31,104,11,0,False,2021-08-01T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-173,2623,4,177
31,109,4,9,False,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,13,53,-95,2532,2,97
31,114,5,5,True,2021-08-15T15:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,15,53,-21,2513,10,31
31,124,5,0,False,2021-08-22T13:00:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-28,2487,6,34
