element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
334,6,14,6,False,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,45,0,287,0,0
334,16,5,3,True,2021-04-19T17:00:00Z,1,3,2,90,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,6,7,45,0,300,4,4
334,22,7,4,True,2021-04-25T13:00:00Z,1,3,3,88,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,45,-6,304,2,8
334,30,11,2,False,2021-05-02T13:00:00Z,1,2,4,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,45,-1,311,10,11
334,38,1,2,False,2021-05-09T15:30:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,6,3,45,-7,304,4,11
334,45,2,1,True,2021-05-12T16:30:00Z,1,3,6,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,45,-3,303,2,5
334,55,9,3,True,2021-05-17T16:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,9,45,-10,293,0,10
334,59,6,0,False,2021-05-23T15:30:00Z,3,1,8,57,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,45,-1,292,5,6
334,72,10,2,True,2021-07-04T13:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,44,-2,291,8,10
334,73,12,2,False,2021-07-10T15:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,6,44,4,295,10,6
334,84,15,3,False,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,2,44,1,297,6,5
334,94,4,7,True,2021-07-26T17:00:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,2,44,7,305,14,7
334,98,16,4,False,2021-07-31T15:30:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,8,6,44,54,361,62,8
334,111,3,8,True,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,12,8,44,55,418,69,14
334,119,8,7,True,2021-08-16T17:00:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,8,44,98,520,113,15
334,125,4,3,False,2021-08-23T17:00:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,4,44,75,601,103,28
