element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
33,1,1,2,False,2021-04-10T13:00:00Z,3,2,1,90,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,8,7,55,0,1596,0,0
33,9,14,7,True,2021-04-17T13:00:00Z,2,0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,2,55,-22,1658,58,80
33,18,12,3,False,2021-04-25T15:30:00Z,2,0,3,90,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,9,13,55,-25,1658,39,64
33,28,6,3,True,2021-05-01T15:30:00Z,1,1,4,81,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,11,5,55,-41,1622,28,69
33,33,3,2,True,2021-05-08T13:00:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,3,55,-53,1576,31,84
33,45,13,9,False,2021-05-12T16:30:00Z,1,3,6,90,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,6,55,-58,1521,12,70
33,50,7,4,True,2021-05-16T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,1,2,0,1,1,6,7,55,-38,1486,21,59
33,62,10,2,False,2021-05-23T13:00:00Z,2,1,8,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,6,55,121,1617,152,31
33,68,15,3,True,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,55,79,1705,123,44
33,75,16,3,True,2021-07-11T13:00:00Z,5,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,3,55,-4,1705,28,32
33,88,8,7,False,2021-07-18T13:00:00Z,0,2,11,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,55,-43,1666,11,54
33,90,9,3,True,2021-07-25T15:30:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6,2,55,0,1673,46,46
33,104,11,1,False,2021-08-01T15:30:00Z,1,1,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,55,57,1734,90,33
33,109,4,7,False,2021-08-08T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,5,3,55,-74,1661,12,86
33,114,5,2,True,2021-08-15T15:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,8,2,55,-21,1644,21,42
33,124,5,2,False,2021-08-22T13:00:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,7,5,55,-75,1571,15,90
