element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
343,6,14,0,False,2021-04-11T13:00:00Z,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,42,0,0
343,16,5,0,True,2021-04-19T17:00:00Z,1,3,2,24,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,50,-2,42,0,2
343,22,7,0,True,2021-04-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-4,40,0,4
343,30,11,1,False,2021-05-02T13:00:00Z,1,2,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,-3,37,0,3
343,38,1,2,False,2021-05-09T15:30:00Z,3,2,5,72,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,9,50,-2,35,0,2
343,45,2,0,True,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-2,33,0,2
343,55,9,4,True,2021-05-17T16:30:00Z,2,1,7,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,7,49,0,33,0,0
343,59,6,-2,False,2021-05-23T15:30:00Z,3,1,8,21,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,49,0,33,1,1
343,72,10,0,True,2021-07-04T13:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-3,30,0,3
343,73,12,1,False,2021-07-10T15:30:00Z,2,1,10,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,48,0,30,0,0
343,84,15,0,False,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,5,9,48,0,30,0,0
343,94,4,0,True,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,30,0,0
343,98,16,1,False,2021-07-31T15:30:00Z,1,1,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,-1,29,1,2
343,111,3,4,True,2021-08-09T17:00:00Z,0,0,14,74,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7,48,-1,28,0,1
343,119,8,5,True,2021-08-16T17:00:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,4,9,48,0,28,0,0
343,125,4,3,False,2021-08-23T17:00:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,7,48,0,28,1,1
