element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
344,6,14,0,False,2021-04-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,94,0,0
344,16,5,0,True,2021-04-19T17:00:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-10,85,0,10
344,22,7,0,True,2021-04-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-8,78,0,8
344,30,11,0,False,2021-05-02T13:00:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-2,76,0,2
344,38,1,0,False,2021-05-09T15:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-6,70,0,6
344,45,2,0,True,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-5,65,0,5
344,55,9,0,True,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-3,62,0,3
344,59,6,0,False,2021-05-23T15:30:00Z,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-3,59,0,3
344,72,10,0,True,2021-07-04T13:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,57,0,2
344,73,12,0,False,2021-07-10T15:30:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,56,0,1
344,84,15,0,False,2021-07-19T17:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,56,0,0
344,94,4,0,True,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,54,0,2
344,98,16,0,False,2021-07-31T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-1,53,0,1
344,111,3,0,True,2021-08-09T17:00:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,53,0,0
344,119,8,0,True,2021-08-16T17:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,53,0,0
344,125,4,0,False,2021-08-23T17:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,53,0,0
