element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
345,6,14,0,False,2021-04-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,96,0,0
345,16,5,1,True,2021-04-19T17:00:00Z,1,3,2,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,50,-14,86,0,14
345,22,7,1,True,2021-04-25T13:00:00Z,1,3,3,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,50,-3,85,0,3
345,30,11,3,False,2021-05-02T13:00:00Z,1,2,4,65,0,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,1,49,-10,75,0,10
345,38,1,5,False,2021-05-09T15:30:00Z,3,2,5,63,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,1,1,49,-3,73,1,4
345,45,2,3,True,2021-05-12T16:30:00Z,1,3,6,90,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,1,7,49,4,79,6,2
345,55,9,8,True,2021-05-17T16:30:00Z,2,1,7,84,1,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,2,49,6,86,8,2
345,59,6,3,False,2021-05-23T15:30:00Z,3,1,8,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,6,49,24,117,26,2
345,72,10,7,True,2021-07-04T13:00:00Z,1,1,9,90,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,5,49,7,126,10,3
345,73,12,7,False,2021-07-10T15:30:00Z,2,1,10,90,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,4,49,159,285,173,14
345,84,15,7,False,2021-07-19T17:00:00Z,1,1,11,79,0,1,0,1,0,0,0,0,0,0,1,1,2,2,1,2,9,50,547,853,567,20
345,94,4,6,True,2021-07-26T17:00:00Z,2,0,12,87,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,5,50,575,1442,606,31
345,98,16,8,False,2021-07-31T15:30:00Z,1,1,13,90,1,0,0,1,0,0,1,0,0,0,1,1,1,4,0,2,10,51,1325,2796,1363,38
345,111,3,5,True,2021-08-09T17:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,2,0,1,2,2,0,2,53,2003,4821,2063,60
345,119,8,4,True,2021-08-16T17:00:00Z,1,0,15,90,0,0,1,0,0,0,1,0,0,0,1,1,2,1,1,0,7,54,756,5615,829,73
345,125,4,7,False,2021-08-23T17:00:00Z,1,2,16,69,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0,1,54,549,6200,712,163
