element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
348,6,14,2,False,2021-04-11T13:00:00Z,0,0,1,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,55,0,88,0,0
348,16,5,6,True,2021-04-19T17:00:00Z,1,3,2,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,106,6,5
348,22,7,2,True,2021-04-25T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,55,17,133,32,15
348,30,11,1,False,2021-05-02T13:00:00Z,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15,156,29,14
348,38,1,6,False,2021-05-09T15:30:00Z,3,2,5,17,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,55,-11,152,5,16
348,45,2,2,True,2021-05-12T16:30:00Z,1,3,6,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,55,12,168,20,8
348,55,9,0,True,2021-05-17T16:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,169,20,19
348,59,6,6,False,2021-05-23T15:30:00Z,3,1,8,32,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55,-21,151,2,23
348,72,10,2,True,2021-07-04T13:00:00Z,1,1,9,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,23,177,56,33
348,73,12,1,False,2021-07-10T15:30:00Z,2,1,10,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,54,-1,180,7,8
348,84,15,1,False,2021-07-19T17:00:00Z,1,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,182,7,9
348,94,4,1,True,2021-07-26T17:00:00Z,2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-4,179,7,11
348,98,16,1,False,2021-07-31T15:30:00Z,1,1,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-2,177,11,13
348,111,3,1,True,2021-08-09T17:00:00Z,0,0,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-9,168,3,12
348,119,8,1,True,2021-08-16T17:00:00Z,1,0,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,-1,169,6,7
348,125,4,1,False,2021-08-23T17:00:00Z,1,2,16,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,53,-10,160,0,10
