element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
349,6,14,2,False,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,0,2845,0,0
349,16,5,1,True,2021-04-19T17:00:00Z,1,3,2,65,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,3,55,76,3062,177,101
349,22,7,2,True,2021-04-25T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,55,-463,2620,79,542
349,30,11,2,False,2021-05-02T13:00:00Z,1,2,4,87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,54,-405,2224,27,432
349,38,1,1,False,2021-05-09T15:30:00Z,3,2,5,72,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,53,-327,1901,18,345
349,45,2,1,True,2021-05-12T16:30:00Z,1,3,6,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,53,-149,1757,26,175
349,55,9,10,True,2021-05-17T16:30:00Z,2,1,7,90,1,0,0,1,0,0,0,0,0,0,2,1,0,3,1,1,6,52,-282,1478,24,306
349,59,6,1,False,2021-05-23T15:30:00Z,3,1,8,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,52,-12,1471,82,94
349,72,10,1,True,2021-07-04T13:00:00Z,1,1,9,23,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,51,-37,1438,100,137
349,73,12,1,False,2021-07-10T15:30:00Z,2,1,10,61,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,51,-104,1334,31,135
349,84,15,0,False,2021-07-19T17:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-119,1215,10,129
349,94,4,0,True,2021-07-26T17:00:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-69,1146,18,87
349,98,16,0,False,2021-07-31T15:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-57,1089,18,75
349,111,3,0,True,2021-08-09T17:00:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-40,1050,5,45
349,119,8,7,True,2021-08-16T17:00:00Z,1,0,15,27,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,50,-39,1011,1,40
349,125,4,1,False,2021-08-23T17:00:00Z,1,2,16,80,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,50,-16,998,14,30
