element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
34,1,1,1,False,2021-04-10T13:00:00Z,3,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,55,0,171,0,0
34,9,14,1,True,2021-04-17T13:00:00Z,2,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,-7,184,2,9
34,18,12,0,False,2021-04-25T15:30:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,-20,168,1,21
34,28,6,0,True,2021-05-01T15:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-13,156,0,13
34,33,3,0,True,2021-05-08T13:00:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-12,145,0,12
34,45,13,0,False,2021-05-12T16:30:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-4,141,0,4
34,50,7,0,True,2021-05-16T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-5,137,0,5
34,62,10,0,False,2021-05-23T13:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-5,132,0,5
34,68,15,0,True,2021-07-04T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-2,130,1,3
34,75,16,0,True,2021-07-11T13:00:00Z,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-1,129,0,1
34,83,7,1,False,2021-07-19T17:00:00Z,5,1,11,78,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,4,7,52,5,134,7,2
34,91,16,7,True,2021-07-24T15:30:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,3,52,17,151,18,1
34,101,8,3,True,2021-08-02T17:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,1,1,1,3,0,3,8,52,63,214,65,2
34,111,13,1,False,2021-08-09T17:00:00Z,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,4,218,8,4
34,115,12,6,True,2021-08-16T17:00:00Z,0,1,15,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,52,-13,205,1,14
34,127,8,3,False,2021-08-22T15:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,7,52,-2,203,4,6
