element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
359,6,13,8,True,2021-04-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,1,1,2,4,0,6,2,55,0,600,0,0
359,9,2,2,False,2021-04-17T13:00:00Z,2,0,2,71,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,55,11,762,33,22
359,23,5,3,False,2021-04-26T16:30:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,6,55,-54,736,12,66
359,32,16,8,True,2021-05-03T16:30:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,1,1,3,2,0,1,6,55,32,774,63,31
359,39,11,11,True,2021-05-09T13:00:00Z,1,0,5,90,0,1,1,0,0,0,1,0,0,0,1,2,1,1,1,6,7,55,12,792,40,28
359,47,15,2,False,2021-05-13T15:00:00Z,1,1,6,69,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,4,55,329,1149,349,20
359,54,6,3,True,2021-05-17T16:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,55,55,1218,181,126
359,57,12,0,False,2021-05-22T13:00:00Z,2,2,8,90,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,2,55,22,1256,69,47
359,71,3,1,False,2021-07-04T15:30:00Z,2,1,9,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,3,56,-43,1218,28,71
359,79,9,4,True,2021-07-11T13:00:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,2,0,3,3,0,2,3,56,-64,1156,8,72
359,86,4,2,False,2021-07-18T16:00:00Z,3,2,11,88,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,7,56,-40,1117,13,53
359,93,1,2,True,2021-07-24T13:00:00Z,0,2,12,85,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,8,55,-44,1074,5,49
359,102,10,3,False,2021-08-01T15:30:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,3,6,55,-19,1057,21,40
359,112,8,2,False,2021-08-07T15:30:00Z,2,2,14,80,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,4,8,55,-49,1009,4,53
359,118,7,4,True,2021-08-15T13:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,1,1,4,2,0,3,6,55,-36,973,4,40
359,122,7,6,False,2021-08-23T17:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,3,54,-47,928,3,50
