element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
360,6,13,1,True,2021-04-11T13:00:00Z,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,148,0,0
360,9,2,2,False,2021-04-17T13:00:00Z,2,0,2,71,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,55,-13,144,1,14
360,23,5,3,False,2021-04-26T16:30:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,55,-14,135,0,14
360,32,16,4,True,2021-05-03T16:30:00Z,1,0,4,72,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,3,2,54,-4,132,3,7
360,39,11,4,True,2021-05-09T13:00:00Z,1,0,5,73,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,54,-5,127,4,9
360,47,15,2,False,2021-05-13T15:00:00Z,1,1,6,79,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,4,54,-1,126,2,3
360,54,6,1,True,2021-05-17T16:30:00Z,1,1,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,54,-7,119,0,7
360,57,12,2,False,2021-05-22T13:00:00Z,2,2,8,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,-8,112,0,8
360,71,3,4,False,2021-07-04T15:30:00Z,2,1,9,85,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,1,6,52,-6,106,0,6
360,79,9,2,True,2021-07-11T13:00:00Z,0,1,10,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,52,-1,105,1,2
360,86,4,1,False,2021-07-18T16:00:00Z,3,2,11,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,105,1,1
360,93,1,1,True,2021-07-24T13:00:00Z,0,2,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,-2,103,1,3
360,102,10,1,False,2021-08-01T15:30:00Z,1,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,52,-1,102,0,1
360,112,8,5,False,2021-08-07T15:30:00Z,2,2,14,68,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,3,52,-2,100,1,3
360,118,7,2,True,2021-08-15T13:00:00Z,0,1,15,81,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,52,-1,100,0,1
360,122,7,1,False,2021-08-23T17:00:00Z,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,52,-2,100,0,2
