element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
376,3,6,0,True,2021-04-11T13:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,116,0,0
376,13,3,0,False,2021-04-18T15:30:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-10,119,1,11
376,19,9,1,False,2021-04-25T13:00:00Z,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,-7,112,1,8
376,27,4,1,True,2021-05-02T13:00:00Z,1,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,-6,106,0,6
376,36,8,0,False,2021-05-08T15:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-4,102,2,6
376,47,14,0,True,2021-05-13T15:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2,101,0,2
376,51,5,0,False,2021-05-17T16:30:00Z,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-2,99,1,3
376,61,16,0,True,2021-05-23T13:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-3,98,0,3
376,68,2,0,False,2021-07-04T15:30:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-2,96,0,2
376,74,7,0,True,2021-07-12T17:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,95,1,2
376,84,13,0,True,2021-07-19T17:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,96,1,1
376,96,11,8,False,2021-07-26T17:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,13,6,43,-3,93,0,3
376,97,12,1,False,2021-08-02T17:00:00Z,1,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,95,2,0
376,107,1,0,True,2021-08-07T15:30:00Z,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,96,0,0
376,116,10,3,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,4,43,0,96,0,0
376,123,9,0,True,2021-08-22T13:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,99,2,1
