element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
378,3,6,8,True,2021-04-11T13:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,7,55,0,973,0,0
378,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,3,55,298,1601,333,35
378,19,9,3,False,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,12,6,55,16,1664,87,71
378,27,4,4,True,2021-05-02T13:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,6,55,-7,1682,46,53
378,36,8,3,False,2021-05-08T15:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,55,17,1709,72,55
378,47,14,3,True,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,5,55,-32,1685,22,54
378,51,5,2,False,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,6,4,55,-103,1585,9,112
378,61,16,7,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,9,55,-33,1556,19,52
378,68,2,3,False,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,56,-18,1544,15,33
378,74,7,7,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,4,56,-4,1540,19,23
378,84,13,2,True,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,56,84,1629,102,18
378,96,11,8,False,2021-07-26T17:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,12,56,15,1651,43,28
378,97,12,3,False,2021-08-02T17:00:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,6,56,63,1720,95,32
378,107,1,6,True,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,11,5,56,1,1724,38,37
378,116,10,3,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,5,56,308,2054,334,26
378,123,9,4,True,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,6,57,40,2106,84,44
