element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
381,3,6,8,True,2021-04-11T13:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,10,6,55,0,484,0,0
381,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,7,55,62,724,80,18
381,19,9,2,False,2021-04-25T13:00:00Z,2,1,3,90,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,9,7,55,-16,742,15,31
381,27,4,4,True,2021-05-02T13:00:00Z,1,1,4,82,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,6,55,-5,748,17,22
381,36,8,4,False,2021-05-08T15:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,14,55,-9,748,16,25
381,47,14,3,True,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,2,55,-8,743,11,19
381,51,5,2,False,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,10,55,-24,721,2,26
381,61,16,7,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,7,55,-4,718,9,13
381,68,2,3,False,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,3,54,-6,714,11,17
381,74,7,7,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,5,54,19,734,29,10
381,84,13,2,True,2021-07-19T17:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,54,79,821,87,8
381,96,11,0,False,2021-07-26T17:00:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,43,865,56,13
381,97,12,3,False,2021-08-02T17:00:00Z,1,0,13,90,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,7,10,54,-24,842,10,34
381,107,1,7,True,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,11,10,54,-11,831,5,16
381,116,10,0,False,2021-08-14T15:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,-29,806,13,42
381,123,9,2,True,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,1,54,-27,781,14,41
