element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,own_goals,attacking_bonus,defending_bonus,crosses,key_passes,big_chances_created,clearances_blocks_interceptions,recoveries,value,transfers_balance,selected,transfers_in,transfers_out
386,3,6,3,True,2021-04-11T13:00:00Z,1,0,1,90,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,10,50,0,144,0,0
386,13,3,3,False,2021-04-18T15:30:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,50,4,155,6,2
386,19,9,3,False,2021-04-25T13:00:00Z,2,1,3,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,50,3,160,10,7
386,27,4,2,True,2021-05-02T13:00:00Z,1,1,4,90,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,9,50,0,160,6,6
386,36,8,3,False,2021-05-08T15:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,8,50,-2,159,5,7
386,47,14,3,True,2021-05-13T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,7,50,-9,150,1,10
386,51,5,3,False,2021-05-17T16:30:00Z,2,3,7,90,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,4,9,50,-6,145,5,11
386,61,16,4,True,2021-05-23T13:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,5,50,-4,141,2,6
386,68,2,3,False,2021-07-04T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,6,49,-3,139,2,5
386,74,7,2,True,2021-07-12T17:00:00Z,0,0,10,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,49,-1,138,3,4
386,84,13,0,True,2021-07-19T17:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,140,7,5
386,96,11,5,False,2021-07-26T17:00:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,1,1,1,4,0,0,8,49,1,143,4,3
386,97,12,2,False,2021-08-02T17:00:00Z,1,0,13,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,3,49,-1,143,2,3
386,107,1,4,True,2021-08-07T15:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,6,49,-3,140,2,5
386,116,10,4,False,2021-08-14T15:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,1,1,3,2,0,5,6,49,0,140,4,4
386,123,9,4,True,2021-08-22T13:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,7,49,2,142,6,4
